stream,session_window_ist,phase_id,factor,n,top_magnitude_tier,pct_top_tier,mean_return_pct
BRENT_session,india_morning,1.0,non_wednesday,5,Q2_25_50,60.0,0.07888428448190038
BRENT_session,india_morning,2.0,non_wednesday,33,Q2_25_50,30.303030303030305,0.14993620382880846
BRENT_session,india_morning,2.0,is_wednesday_eia_day,9,Q4_75_90,33.33333333333333,-0.15460438272022575
BRENT_session,india_morning,5.0,non_wednesday,9,Q1_0_25,44.44444444444444,-0.0572350227164748
BRENT_session,india_morning,7.0,non_wednesday,8,Q3_50_75,37.5,-0.017537417460715812
BRENT_session,india_morning,10.0,non_wednesday,6,Q3_50_75,33.33333333333333,-0.06807593809078648
BRENT_session,mcx_open_drive,1.0,non_wednesday,5,Q1_0_25,40.0,0.5095584979299739
BRENT_session,mcx_open_drive,2.0,non_wednesday,33,Q1_0_25,33.33333333333333,-0.0038527713563373625
BRENT_session,mcx_open_drive,2.0,is_wednesday_eia_day,9,Q3_50_75,44.44444444444444,0.10088327120606372
BRENT_session,mcx_open_drive,5.0,non_wednesday,10,Q1_0_25,40.0,-0.03910073943620772
BRENT_session,mcx_open_drive,7.0,non_wednesday,8,Q1_0_25,37.5,-0.0980822128728947
BRENT_session,mcx_open_drive,10.0,non_wednesday,6,Q2_25_50,33.33333333333333,0.10358723384033608
BRENT_session,mcx_tail,1.0,non_wednesday,5,Q3_50_75,40.0,-0.38464957487691837
BRENT_session,mcx_tail,2.0,non_wednesday,34,Q1_0_25,29.411764705882355,-0.01283931488333514
BRENT_session,mcx_tail,2.0,is_wednesday_eia_day,9,Q1_0_25,33.33333333333333,-0.30528695172862635
BRENT_session,mcx_tail,5.0,non_wednesday,9,Q1_0_25,33.33333333333333,0.1291362567626082
BRENT_session,mcx_tail,7.0,non_wednesday,8,Q1_0_25,37.5,0.5428176036419907
BRENT_session,mcx_tail,10.0,non_wednesday,7,Q1_0_25,42.857142857142854,0.03408728311434295
BRENT_session,other_valid_hours,1.0,non_wednesday,15,Q1_0_25,26.666666666666668,0.6564619938846864
BRENT_session,other_valid_hours,2.0,non_wednesday,34,Q3_50_75,29.411764705882355,0.053534018315237304
BRENT_session,other_valid_hours,2.0,is_wednesday_eia_day,8,Q1_0_25,50.0,0.48651663324514594
BRENT_session,other_valid_hours,5.0,non_wednesday,9,Q2_25_50,33.33333333333333,0.513096782452763
BRENT_session,other_valid_hours,7.0,non_wednesday,8,Q1_0_25,50.0,0.14771810163410407
BRENT_session,other_valid_hours,10.0,non_wednesday,6,Q1_0_25,33.33333333333333,-0.1718346959789462
BRENT_session,us_late,1.0,non_wednesday,10,Q2_25_50,40.0,0.04577873807036013
BRENT_session,us_open,1.0,non_wednesday,30,Q1_0_25,40.0,0.1852258923102899
BRENT_session,us_open,1.0,is_wednesday_eia_day,6,Q1_0_25,33.33333333333333,-0.7134401300780763
BRENT_session,us_open,2.0,non_wednesday,68,Q1_0_25,26.47058823529412,0.08656862743175879
BRENT_session,us_open,2.0,is_wednesday_eia_day,18,Q3_50_75,27.77777777777778,0.4306253648792576
BRENT_session,us_open,3.0,non_wednesday,6,Q1_0_25,33.33333333333333,-0.6199430601189571
BRENT_session,us_open,4.0,non_wednesday,6,Q1_0_25,50.0,0.11288655874681186
BRENT_session,us_open,5.0,non_wednesday,18,Q3_50_75,33.33333333333333,0.08683974142505795
BRENT_session,us_open,7.0,non_wednesday,16,Q2_25_50,25.0,1.0109543225065287
BRENT_session,us_open,9.0,non_wednesday,6,Q1_0_25,33.33333333333333,-0.5704076968947681
BRENT_session,us_open,10.0,non_wednesday,14,Q3_50_75,35.714285714285715,0.42509392736660884
BRENT_session,us_pre_open,1.0,non_wednesday,15,Q3_50_75,33.33333333333333,-0.07718318095872354
BRENT_session,us_pre_open,2.0,non_wednesday,34,Q2_25_50,32.35294117647059,0.1689189014500744
BRENT_session,us_pre_open,2.0,is_wednesday_eia_day,9,Q3_50_75,44.44444444444444,0.1391487399864027
BRENT_session,us_pre_open,5.0,non_wednesday,9,Q3_50_75,33.33333333333333,0.01564837327221537
BRENT_session,us_pre_open,7.0,non_wednesday,8,Q3_50_75,50.0,0.4296940484802684
BRENT_session,us_pre_open,10.0,non_wednesday,7,Q2_25_50,28.57142857142857,0.3357426717523166
WTI_session,asia_early,1.0,non_wednesday,9,Q2_25_50,33.33333333333333,-0.014808634091196038
WTI_session,europe_midday,1.0,non_wednesday,15,Q3_50_75,26.666666666666668,-0.2929309050427837
WTI_session,europe_midday,2.0,non_wednesday,34,Q1_0_25,26.47058823529412,-0.37937500402988605
WTI_session,europe_midday,2.0,is_wednesday_eia_day,9,Q2_25_50,44.44444444444444,-0.3959643709333329
WTI_session,europe_midday,5.0,non_wednesday,9,Q2_25_50,33.33333333333333,0.08263712421443466
WTI_session,europe_midday,7.0,non_wednesday,8,Q2_25_50,37.5,0.10361839631373494
WTI_session,europe_midday,10.0,non_wednesday,7,Q2_25_50,42.857142857142854,-1.362923643797782
WTI_session,global_reopen_pre_mcx,1.0,non_wednesday,5,Q3_50_75,40.0,0.24092395712660108
WTI_session,global_reopen_pre_mcx,2.0,non_wednesday,32,Q2_25_50,31.25,0.15032871654168778
WTI_session,global_reopen_pre_mcx,2.0,is_wednesday_eia_day,9,Q4_75_90,44.44444444444444,-1.8827294095619744
WTI_session,global_reopen_pre_mcx,5.0,non_wednesday,10,Q3_50_75,30.0,-0.4866054549208901
WTI_session,global_reopen_pre_mcx,7.0,non_wednesday,8,Q1_0_25,25.0,0.08913425908067404
WTI_session,global_reopen_pre_mcx,10.0,non_wednesday,7,Q2_25_50,28.57142857142857,-0.14480544114172827
WTI_session,india_midday,1.0,non_wednesday,5,Q1_0_25,40.0,0.3203083526750077
WTI_session,india_midday,2.0,non_wednesday,34,Q2_25_50,29.411764705882355,-0.09757923696876562
WTI_session,india_midday,2.0,is_wednesday_eia_day,9,Q3_50_75,33.33333333333333,-0.28272909231066634
WTI_session,india_midday,5.0,non_wednesday,9,Q1_0_25,44.44444444444444,0.011495907451229451
WTI_session,india_midday,7.0,non_wednesday,8,Q3_50_75,37.5,-0.18397615782928808
WTI_session,india_midday,10.0,non_wednesday,7,Q3_50_75,28.57142857142857,0.46324909536988657
WTI_session,india_morning,1.0,non_wednesday,5,Q1_0_25,40.0,0.019948304799290238
WTI_session,india_morning,2.0,non_wednesday,33,Q3_50_75,24.242424242424242,0.0788644140292755
WTI_session,india_morning,2.0,is_wednesday_eia_day,9,Q3_50_75,33.33333333333333,-0.16700154943555334
WTI_session,india_morning,5.0,non_wednesday,9,Q2_25_50,33.33333333333333,-0.07503861687313428
WTI_session,india_morning,7.0,non_wednesday,8,Q2_25_50,37.5,-0.05097805003690058
WTI_session,india_morning,10.0,non_wednesday,7,Q2_25_50,28.57142857142857,-0.13623926120445587
WTI_session,mcx_open_drive,1.0,non_wednesday,5,Q2_25_50,40.0,0.46140978394616994
WTI_session,mcx_open_drive,2.0,non_wednesday,33,Q2_25_50,30.303030303030305,-0.0077970080114391355
WTI_session,mcx_open_drive,2.0,is_wednesday_eia_day,9,Q3_50_75,33.33333333333333,0.1196751363087404
WTI_session,mcx_open_drive,5.0,non_wednesday,10,Q2_25_50,50.0,-0.038570588644822414
WTI_session,mcx_open_drive,7.0,non_wednesday,8,Q3_50_75,25.0,-0.14531235118742658
WTI_session,mcx_open_drive,10.0,non_wednesday,7,Q1_0_25,42.857142857142854,0.016918523959422775
WTI_session,mcx_tail,1.0,non_wednesday,5,Q2_25_50,40.0,-0.6509044319238789
WTI_session,mcx_tail,2.0,non_wednesday,34,Q3_50_75,26.47058823529412,-0.009070464161106304
WTI_session,mcx_tail,2.0,is_wednesday_eia_day,9,Q1_0_25,44.44444444444444,-0.3381507392763774
WTI_session,mcx_tail,5.0,non_wednesday,9,Q1_0_25,33.33333333333333,0.14343068938749812
WTI_session,mcx_tail,7.0,non_wednesday,8,Q3_50_75,37.5,0.5537617933903177
WTI_session,mcx_tail,10.0,non_wednesday,7,Q2_25_50,28.57142857142857,-0.04464949659595393
WTI_session,other_valid_hours,1.0,non_wednesday,15,Q1_0_25,26.666666666666668,0.2762370279431289
WTI_session,other_valid_hours,2.0,non_wednesday,34,Q2_25_50,29.411764705882355,0.013284031581995478
WTI_session,other_valid_hours,2.0,is_wednesday_eia_day,8,Q2_25_50,37.5,0.710980391169411
WTI_session,other_valid_hours,5.0,non_wednesday,9,Q1_0_25,33.33333333333333,0.5795679666049764
WTI_session,other_valid_hours,7.0,non_wednesday,8,Q2_25_50,50.0,0.1928375694643857
WTI_session,other_valid_hours,10.0,non_wednesday,7,Q3_50_75,42.857142857142854,0.050943811552111466
WTI_session,us_late,1.0,non_wednesday,10,Q1_0_25,40.0,-0.1995412211630124
WTI_session,us_open,1.0,non_wednesday,30,Q2_25_50,30.0,0.25780123287570317
WTI_session,us_open,1.0,is_wednesday_eia_day,6,Q3_50_75,66.66666666666666,0.25794000286407387
WTI_session,us_open,2.0,non_wednesday,68,Q1_0_25,27.941176470588236,0.11250045796284251
WTI_session,us_open,2.0,is_wednesday_eia_day,18,Q3_50_75,55.55555555555556,0.14641071355150773
WTI_session,us_open,3.0,non_wednesday,6,Q2_25_50,33.33333333333333,-0.6874525214248485
WTI_session,us_open,4.0,non_wednesday,6,Q2_25_50,33.33333333333333,0.07634037077494672
WTI_session,us_open,5.0,non_wednesday,18,Q1_0_25,33.33333333333333,0.07862539848635991
WTI_session,us_open,7.0,non_wednesday,16,Q2_25_50,31.25,-0.001101003921971766
WTI_session,us_open,9.0,non_wednesday,6,Q2_25_50,33.33333333333333,-0.5147152688119048
WTI_session,us_open,10.0,non_wednesday,14,Q2_25_50,28.57142857142857,0.46089893505277413
WTI_session,us_pre_open,1.0,non_wednesday,15,Q2_25_50,33.33333333333333,0.15087307801723054
WTI_session,us_pre_open,2.0,non_wednesday,34,Q1_0_25,29.411764705882355,-0.34295249867011274
WTI_session,us_pre_open,2.0,is_wednesday_eia_day,9,Q3_50_75,55.55555555555556,0.4289197044116795
WTI_session,us_pre_open,5.0,non_wednesday,9,Q4_75_90,22.22222222222222,0.011496821052652163
WTI_session,us_pre_open,7.0,non_wednesday,8,Q1_0_25,37.5,0.7840390993543889
WTI_session,us_pre_open,10.0,non_wednesday,7,Q1_0_25,42.857142857142854,0.29979707939834493
